ANON_ID,STUDENT_ID
C08B6E08,109828524
198DA001,110138436
FB989074,110230821
DA1CC80E,109774743
C84F4C86,109533631
7D745661,109828023
24F7912F,109819674
18F26A85,110291898
2A34741F,109756806
B5E36F6F,107779806
E8EFAAC2,109782108
D19A94ED,109752513
B77473E4,109734540
5CEE6856,109756815
8F3DA45E,109653401
EA81F456,109426900
CEBA6FB3,109800390
C82DEA5B,109688028
00E6570E,109582412
BCEE5E5C,109494574
65235974,108544729
AC2BAEC9,109611536
7D7454DF,109817769
1.44E+08,106114938
8631F3FC,109756392
305B75CA,108519067
2060236,110275803
395707B6,109806552
88E1062E,109495942
D056E288,109767684
BCEE5F01,109518853
37FC5B68,109806777
41864A5D,109730907
527457,109789794
69FEE9A0,107509278
F62BB130,109792599
00255EFD,109722819
5875ADBA,109487176
CD5314CF,109928295
5095E64D,109992870
CCBA495F,109733433
F727D9DA,109757994
A3C1179F,109751163
2B5BCB6E,109759656
87128945,109432183
58464C76,110006502
8D9E65EC,109668902
C991FC13,109902012
DA1CC88D,109776987
BD411ED5,109758288
EF9BA9C1,110116458
A831B2F5,109761843
C08B6C28,109797945
F67BFDA3,109410949
AFBB726A,109319134
DA1CC8FA,109779537
0CDBD786,110102172
883808DE,109537816
CE45C239,109898097
F36F68C8,108218941
3573D592,103342730
4C14DE1B,109341970
3E364983,109830054
7A7C4ECF,109803063
9EB99F00,109749456
15E014EE,108547303
E770B5E5,110063487
7D364130,109839045
A50A6653,108974767
1D99C1EB,110006862
EAF8C934,109903563
FAA91A15,110028084
3D262C0F,109997982
57E195AE,106052790
CF0522AC,110131263
CAC5FFD9,109604456
EDE85EBD,109820670
527410,109789323
40CDF680,110091690
7FB2FD64,109904808
F543A1B2,109536343
66DA13EB,109900209
E36D37A2,109785768
BD0B8BB6,109520062
C44AB91C,109685673
E9076E1D,109434424
24F79186,109820988
5B7C266C,109246513
04F549DE,110311119
FCEE35D9,109070893
79337FF3,109824225
8716001D,108513154
6E237EBC,109176247
0CED9FC5,109645718
9EB9A01C,109756080
B8F568E3,109824006
F62BB14F,109808598
30A3B598,108204820
AC74589D,109427407
CCC760D8,110076855
E80C0177,109525942
648B0C32,109838103
211E6FBF,110317479
5CF84D8A,110021781
5327ABB4,109501990
D7A1D0E3,109220761
2E42376B,110067084
0FCB9A18,110061780
37FC58C3,109765236
E42FC8EF,109510474
159A52E2,108749599
067A4388,109686429
0A9247D8,105917565
03FD0FB2,110275359
83F24F35,109326640
19E2A4BD,110099376
E42FCB02,109531846
C8EF803A,110026200
EE485621,109783299
11674351,108641038
24F7906C,109816491
5AE4CB1C,108514078
0B551B64,109478407
9053C69E,109914945
46FFC21D,109505182
0BBB057A,109776090
EE485552,109779873
C4507BB3,109789965
AC2BAEBE,109611356
953F2A55,110063019
2C8CEFB1,109629992
648B0C1E,109837890
A0265E1E,110086155
AA826BA7,109324765
E6AFCB5A,109541068
72516FDD,109556440
8A6F78E4,109796886
83FD370C,109849593
D038630C,110095359
BE28AED8,108659320
0BBB050B,109774620
836713DB,109777944
840F1369,109792680
A388A460,109749549
625C64EF,107482446
0578263B,109800723
E8C9E3C9,110026338
E10D6B06,109507126
898B41D5,109407178
EBA7A71D,109764786
BFCD6E83,109733103
908312EF,109917387
B4973942,109860816
A831B2CA,109761180
586214B8,109842930
70B12D6A,110307936
0BBB023A,109752441
DA1CC92B,109780362
7C14BA05,109735179
3C541036,110155485
EDE85BA6,109806516
DA1CC9F2,109784310
06DAF3FF,109837734
840F1277,109774125
26E143B1,104974848
D056E458,109790388
7CAFDCB9,109870152
99151B37,110082756
9772F936,109780302
2B5BC7CF,109739454
BF5E6D7C,109722651
2677AE8D,109677240
0FCB9A83,110071548
FFBD3467,110229339
88E10657,109496104
CAC600A8,109626701
E5D7002F,108970600
C98FB42A,110118195
567E4FA8,109672859
AEF0EB9D,110056560
632617FB,110161641
E01FFD3B,110391492
0C6EA7C5,105840441
4543F563,110245479
015698DD,110146041
1D13FD41,110002827
70B12D27,110306799
0E21ED29,110034588
